mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0768655776977539,0.002894773921234657,0.0029994487762451173,0.00014217318687494572,0.001,3,4,2,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-124.47002449635926,-88.78605220269246,-141.76792777677386,-119.86969480395467,-121.74672615555191,-119.32808508706641,17.14027432243386,107
0.14775004386901855,0.002894726396427755,0.0031137943267822267,0.000488661277301336,0.001,3,4,2,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-121.85944898093621,-87.74205917206855,-140.38132129626254,-118.87620215699285,-119.88147943059202,-117.74810220737045,16.943153809887857,95
0.2761697292327881,0.005560157433887185,0.003141021728515625,0.0003022331660180747,0.001,3,4,2,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-117.25067858711395,-85.77472380436056,-137.2968952986316,-117.22487265872518,-116.98012375549435,-114.90545882086512,16.523680710022795,83
0.07130036354064942,0.0004348551647138696,0.0027174949645996094,0.00020446102332246347,0.001,3,4,4,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-124.47002449635926,-88.78605220269246,-141.76792777677386,-119.86969480395467,-121.74672615555191,-119.32808508706641,17.14027432243386,107
0.13622326850891114,0.0018116188402246486,0.0027265071868896483,0.0002211988112794841,0.001,3,4,4,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-121.85944898093621,-87.74205917206855,-140.38132129626254,-118.87620215699285,-119.88147943059202,-117.74810220737045,16.943153809887857,95
0.24957094192504883,0.0032676026555693355,0.0027666091918945312,0.0003566128632144876,0.001,3,4,4,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-117.25067858711395,-85.77472380436056,-137.2968952986316,-117.22487265872518,-116.98012375549435,-114.90545882086512,16.523680710022795,83
0.06332631111145019,0.001557055052334444,0.0025864124298095705,8.620305878378154e-05,0.001,3,8,2,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-124.47002449635926,-88.71222451868064,-141.5490523491958,-119.52538094845349,-121.6629244738045,-119.18392135729876,17.105135661608674,105
0.14493923187255858,0.02870033850039969,0.002507781982421875,0.0002127570027338504,0.001,3,8,2,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-121.85944898093621,-87.59988415886379,-139.99599672439666,-118.23915922274166,-119.62842887119301,-117.46458359162625,16.87697772446949,93
0.3486649036407471,0.010509433905849875,0.004004955291748047,0.0008981387430874509,0.001,3,8,2,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-117.25067858711395,-85.60984158190094,-137.55153723247236,-116.13724756439672,-116.35079773698641,-114.58002054057405,16.61117015931337,81
0.06993017196655274,0.002788417316076251,0.0026038646697998046,0.00022397785954059057,0.001,3,8,4,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-124.47002449635926,-88.71222451868064,-141.5490523491958,-119.52538094845349,-121.6629244738045,-119.18392135729876,17.105135661608674,105
0.15691914558410644,0.01203955100449788,0.0029456615447998047,0.0008047509109753491,0.001,3,8,4,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-121.85944898093621,-87.59988415886379,-139.99599672439666,-118.23915922274166,-119.62842887119301,-117.46458359162625,16.87697772446949,93
0.30954704284667967,0.01126230688387452,0.0038125038146972655,0.0007989153848041161,0.001,3,8,4,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-117.25067858711395,-85.60984158190094,-137.55153723247236,-116.13724756439672,-116.35079773698641,-114.58002054057405,16.61117015931337,81
0.11292762756347656,0.005824132939915543,0.0035734653472900392,0.0005224349506908593,0.001,5,4,2,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-124.21088438941057,-88.25111849555243,-140.74854256584484,-119.34029595096456,-121.11202486306993,-118.73257325296848,17.028593592332015,101
0.20656185150146483,0.004707423099024388,0.002559518814086914,0.00023318812356781812,0.001,5,4,2,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-121.29704536053796,-86.79514848565356,-138.67117459941966,-117.92778948704546,-118.96654850503086,-116.7315412875375,16.76189260379743,89
0.5001086235046387,0.029591320149909905,0.005261898040771484,0.0024039673235269764,0.001,5,4,2,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-116.38172608993283,-84.47618102658835,-135.30246532757175,-115.77560154428228,-115.39187075598144,-113.46556894887132,16.338821972700522,79
0.1273268699645996,0.015623760192099571,0.0038918972015380858,0.001397604280172969,0.001,5,4,4,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-124.21088438941057,-88.25111849555243,-140.74854256584484,-119.34029595096456,-121.11202486306993,-118.73257325296848,17.028593592332015,101
0.2874490261077881,0.008260597397485197,0.0029214859008789063,0.00027716902138398363,0.001,5,4,4,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-121.29704536053796,-86.79514848565356,-138.67117459941966,-117.92778948704546,-118.96654850503086,-116.7315412875375,16.76189260379743,89
0.4548519134521484,0.028682482453506488,0.003298187255859375,0.0002793127371612967,0.001,5,4,4,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-116.38172608993283,-84.47618102658835,-135.30246532757175,-115.77560154428228,-115.39187075598144,-113.46556894887132,16.338821972700522,79
0.11640267372131348,0.014935439582827609,0.003496074676513672,0.0008441519953768659,0.001,5,8,2,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-124.21973151923906,-88.12710523351313,-141.41088331059396,-118.96576555575939,-121.27253175434954,-118.79920347469101,17.24872688348556,103
